name,inventory,price,description,img_url,active,id,merchant_id
Citronella Mint-Infused Gauze,225,8.50,"Bug-repellent, cooling gauze for all wounds ranging from blisters to radioactive sores. Dr. Anthony Fauci's gauze of choice.  ",https://lh3.googleusercontent.com/pw/ACtC-3duqMapWWiF91QJXoWm6mkNH0tS21dxIlwyg-1htWkQSgNE4n_A8oOVJUqIIXxU4ABURgyCqiMVXgWftgDSKFV4pWrygUGamHYgWjV2hJm7H8geeTKEabfJAM1mAfaBB0_gqn_HTjfOqXDxgHqlCOSt=w1792-h1194-no?authuser=0,TRUE,1,3
"""The Next End of the World""",10,25.00,"Predictions by Emmett Clarke on the end of the world, when it hits again. How to prepare yourself and your family for ""the big one.""",https://images.unsplash.com/photo-1504036764568-17ae585d4619?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=2850&q=80,TRUE,2,1
Phosphorous Tubes,50,15.00,Phosphorous-safe tubes for your all your nightlight needs.,https://lh3.googleusercontent.com/pw/ACtC-3dCQK7Lwyqq4navEHbAMPfu4gOqogviookj0pIiMvssZVEQ89kiaaxLb-U_61LozLMtADCJHxWuxQVFE-ZQltzE2_arLXbKqtJu929UvGQZGLOf5ah804yUuKAHipUNKUjvmuRkvAax5sgWQ9_70YQ9=w1644-h1096-no?authuser=0,TRUE,3,2
"12"" Bowie Knife",30,50.00,"From cutting protein to underbrush, our 12"" bowie knife was finely honed and fired for all your needs.",https://images.unsplash.com/photo-1588202807093-b41294df13af?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=1567&q=80,TRUE,4,8
Pair of Pullets,20,85.00,Two well-feathered pullets primed for non-fertile egg production. (Item listing is for two pullets only.),https://images.unsplash.com/photo-1471623817296-aa07ae5c9f47?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,TRUE,5,7
"""How to Forgive After Your Loved Ones Left You to Die""",80,17.00,Dr. Joy Guffie on moving on after they moved on. A tough-love approach to carving out a new life after being deemed dispensable.,https://images.unsplash.com/photo-1504036764568-17ae585d4619?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=2850&q=80,TRUE,6,10
PP Health and Lifestyle Bundle,100,60.00,A DIY kit for making your own sanitary products and birth control.,https://lh3.googleusercontent.com/pw/ACtC-3dhYHFtISwpbWXVQ-n6ECsU1RBVeQNHKLVP3s8cC-etBYejPY_e51-E4R9DzAjTbPJje2mAS2TJYhWiDzPf6zvy7vi9J6RhrzlQ-92yVPIbp_MZMmch0wxrzvKmRvqR-XSnoMUbLqUo4R3wgDFQTNnL=w878-h1096-no?authuser=0,TRUE,7,6
Crisp Pickles,40,2.00,One jar of homegrown pickles.,https://images.unsplash.com/photo-1462536738427-0725f3eb98f7?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,FALSE,8,4
Space Blanket Tent,70,45.00,One temporary shelter made of premium foraged space blankets. Bone poles included.,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcSU5KUNAcEPQ9ipuXoFyS05HTH6HEQB2blapa2kRtwRFBYLLYvaJ8TzeAVI_1AVinvy_OBvbak&usqp=CAc,TRUE,9,9
Wheelbarrow,25,70.00,One premium steel wheelbarrow with splinter-free grips. Great for carting everything from vegetable starts to compost bodies.,https://lh3.googleusercontent.com/pw/ACtC-3dbBsL1jqTLA5AnjJ1ZedWId60ypl8sk-bFESIPvoGIswC5C2yoPbE365v9e9wdy53J5VKMFm2oOdkpXdRpiYakkR-tmi6p31xzLYKCPrc7H7ueyrvaIKqJafUiLE4I6tx5NuzXaQxnI0HvSpzMWT-T=w732-h1096-no?authuser=0,TRUE,10,7
Shovel,50,19.99,"A sturdy shovel with a steel head and wooden handle with an ergonomic D-grip design. Great for farming and landscaping, among other things.",https://lh3.googleusercontent.com/pw/ACtC-3cfR5_kvsJamIibNDOjta_9IAZUaRnVzxiZjCESLlydtmjz8M6D0EmD1JdmT1kUPOcNG4eBGRmwysTvlaJhoN24x09OpewfxAcbHagbVyEIpseZd8bw9eiuqBsVQUTf3uGtjV-Zr8qDBdGDJdWIwanj=w1804-h1194-no?authuser=0,TRUE,11,7
4-Pack Bar Soap,100,2.50,"Simple, multi-purpose bars of soap for all your cleaning needs. It'll never be able to clean your conscience, but it sure does leave your hands sparkling clean!",https://files.slack.com/files-pri/TQZ4GS0GJ-F015DSK8PT8/image.png,TRUE,12,3
Switch Blade,75,24.99,"A sharp, multi-use knife. Perfect for carving, cooking, and close combat on-the-go.",https://images.unsplash.com/photo-1588088231287-7df034a572fe?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,TRUE,13,8
Fire Starting Kit,25,11.99,"Starting a fire to cook your food or burn your dead is difficult enough without needing to forage for wood. We made it easier for you to get started by putting together this handy kit! Included is a bag of tinder, a bundle of dry kindling, and a box of kiln-dried firewood to get you fired up!",https://lh3.googleusercontent.com/pw/ACtC-3ddiYAQg8EG-4Adh_LstYdbQvqVPhOlHeWkut8J_g8KS7MF55pKmNl8n-mRQ7CyG95Fz3bawwjh1T_HkOMoWCJdsUaTzp-r5p0SGI5RhUvoA29z0Efvge3YQYQtPLRJx19-ds_7CoS_FMIzERY0LCA2Hg=w796-h1194-no?authuser=0,TRUE,14,9
